timestamp_bst,Total Surface Mass Concentration - PM2.5 (µg/m³),Black Carbon Surface Mass Concentration (µg/m³),Organic Carbon Surface Mass Concentration (µg/m³),SO4 Surface Mass Concentration (µg/m³),Dust Surface Mass Concentration - PM2.5 (µg/m³),Total Aerosol Extinction AOT 550nm (-),Total Aerosol Angstrom Parameter 470-870nm (-),Total Column Mass Density - PM2.5 (mg/m²),Black Carbon Column Mass Density (mg/m²),Organic Carbon Column Mass Density (mg/m²),SO4 Column Mass Density (mg/m²),Dust Column Mass Density - PM2.5 (mg/m²),Surface Wind Speed (m/s),2-meter Air Temperature (°C),Surface Specific Humidity (g/kg),Surface Pressure (hPa),Total Surface Precipitation (mm/hr),Dust Scattering AOT 550nm - PM1.0 (-),Dust Column Mass Density - Total (mg/m²),SO2 Column Mass Density (mg/m²),Total Aerosol Scattering AOT 550nm (-),Total Column Ozone (DU),Dust Surface Mass Concentration - Total (µg/m³),Dust Extinction AOT 550nm - PM2.5 (-),Dust Extinction AOT 550nm - Total (-),SO2 Surface Mass Concentration (µg/m³)
1/1/2017 0:00,73.05,6.465,28.8,20.5,9.435,0.724255353,1.61154646,114.0195,8.02,35.6,33.6,23.25,3.33884335,17.64385415,10.135273,1014.38736,1.41E-05,0.017118452,50.9,4.32,0.655525386,243.6454165,20.05,0.032300715,0.04684704,4.275
1/1/2017 1:00,73.95,6.64,29.6,20.45,9.35,0.698720515,1.61745745,111.864,7.875,35,32.95,22.8,3.47093654,17.0566044,10.241615,1014.11331,1.88E-06,0.016786491,49.85,4.18,0.631330192,242.580658,19.85,0.031668958,0.045910629,4.47
1/1/2017 2:00,74.35,6.79,30.35,20.2,9.18,0.678498715,1.61916858,109.673,7.715,34.35,32.2,22.45,3.68989921,16.49956705,10.344987,1013.74762,1.40E-06,0.016565021,49.1,4.04,0.612566889,241.501358,19.45,0.031235392,0.045249956,4.67
1/1/2017 3:00,74.15,6.925,31,19.65,8.89,0.663534284,1.61817515,107.594,7.56,33.75,31.4,22.2,3.90392375,16.1966801,10.446746,1013.47821,1.05E-06,0.016401532,48.55,3.915,0.598821342,240.711914,18.85,0.030915748,0.044771301,4.89
1/1/2017 4:00,73.4,7.05,31.65,18.85,8.48,0.654510975,1.61640328,105.5195,7.42,33.25,30.6,21.9,3.73498797,16.053278,10.547654,1013.514435,7.78E-07,0.016173422,47.9,3.825,0.590776444,240.3833925,18,0.030489256,0.044154037,5.16
1/1/2017 5:00,72.3,7.17,32.3,17.9,7.99,0.646151185,1.614932475,103.284,7.28,32.7,29.8,21.45,3.42688584,15.86753275,10.629392,1013.93674,5.60E-07,0.015845261,47,3.78,0.583515019,240.3174135,17,0.029878836,0.04327692,5.5
1/1/2017 6:00,71,7.28,32.9,16.8,7.465,0.635766477,1.61396742,100.953,7.14,32.15,28.95,20.95,3.01884174,15.7592106,10.687089,1014.70096,3.79E-07,0.015455689,45.9,3.78,0.574267209,240.312729,15.95,0.029149868,0.0422391,5.895
1/1/2017 7:00,69.6,7.365,33.4,15.7,6.97,0.625494898,1.61414421,98.7,7.015,31.7,28.15,20.4,2.63910627,16.3053837,10.716998,1015.56366,2.38E-07,0.015030323,44.7,3.815,0.564905613,240.222687,14.9,0.028357043,0.041110149,6.26
1/1/2017 8:00,67.25,7.295,33.15,14.65,6.485,0.613016546,1.616680865,96.85,6.915,31.3,27.55,19.9,2.24836755,17.61493875,10.747226,1016.338775,1.41E-07,0.014651065,43.6,3.85,0.553411752,240.2987825,13.9,0.027651637,0.040087442,6.18
1/1/2017 9:00,63.1,6.585,29.9,14.55,6.51,0.605773121,1.62185818,97.3,6.97,31.55,27.7,19.9,1.48487794,19.6691227,11.047103,1016.960725,7.87E-08,0.014651146,43.55,3.875,0.546046734,240.5733645,13.95,0.027640055,0.040061489,5.005
1/1/2017 10:00,57.85,5.235,23.6,15.7,7.295,0.601040661,1.625448225,98.1,7.045,31.9,27.95,20,0.898194671,22.4988041,9.948018,1017.06229,3.88E-08,0.014750274,43.8,3.93,0.540722638,240.679184,15.5,0.027816091,0.040311342,3.26
1/1/2017 11:00,53.75,4.33,19.4,16.1,7.76,0.588451684,1.627239405,97.2,6.985,31.6,27.65,19.85,0.592555285,24.5165348,9.455631,1016.414035,1.64E-08,0.014630343,43.45,3.98,0.528727532,240.715408,16.4,0.027595429,0.039990745,2.325
1/1/2017 12:00,79.2,5.815,25.6,26.55,11.21,0.86760038,1.642655195,140.6365,9.675,42.8,44.6,26.1,0.532568276,25.20879555,9.24232,1015.268955,6.84E-09,0.01927325,56.7,3.965,0.785757424,240.911087,23.6,0.036282399,0.052456642,2.13
1/1/2017 13:00,102.65,7.205,31.4,36.1,14.4,1.143478215,1.65686554,183.522,12.3,53.75,61.4,32.25,1.12257719,25.51337625,9.03396,1014.011935,5.36E-09,0.023876315,69.8,3.865,1.039790035,241.2959595,30.3,0.044881743,0.064793427,1.97
1/1/2017 14:00,98.3,6.855,29.85,34.55,14,1.12622899,1.65730673,181.7875,12.1,52.95,61.05,31.95,1.78005803,25.5658512,8.925329,1013.059815,1.26E-08,0.023659416,69.2,3.705,1.02403134,241.9084775,29.6,0.04446242,0.064198375,1.84
1/1/2017 15:00,97.85,6.77,29.45,34.5,14,1.11516005,1.658477245,180.6345,11.95,52.35,61.05,31.6,2.36788845,25.2150364,8.877971,1012.50931,4.45E-07,0.023369278,68.4,3.55,1.01420599,242.4812775,29.7,0.043935226,0.063450061,1.81
1/1/2017 16:00,99.7,6.87,29.9,35.2,14.25,1.101195635,1.66150111,179.575,11.85,51.75,61.1,31.2,2.71109414,24.00478555,8.825153,1012.334565,9.45E-07,0.023038332,67.45,3.42,1.001381664,242.6349795,30.2,0.043335704,0.062575141,1.875
1/1/2017 17:00,102.5,7.11,30.95,36.1,14.55,1.08154911,1.664806425,178.16,11.7,51,60.95,30.9,2.93786597,22.1560459,8.937859,1012.548825,8.68E-07,0.022824877,66.8,3.32,0.983249098,242.5692905,30.8,0.042939818,0.061970467,2.045
1/1/2017 18:00,105.5,7.4,32.2,37,14.8,1.05780697,1.66582614,176.026,11.5,50.05,60.3,30.8,2.93134761,20.9376316,9.015533,1013.052245,6.73E-07,0.022777245,66.55,3.265,0.961597085,242.4778445,31.35,0.042859133,0.061795345,2.29
1/1/2017 19:00,108,7.655,33.35,37.65,15,1.026462615,1.665887715,172.6245,11.25,48.85,59.05,30.6,2.66838431,20.4873295,9.078221,1013.59363,5.49E-07,0.022635179,66.05,3.245,0.932946772,242.3141935,31.75,0.042613268,0.061403511,2.545
1/1/2017 20:00,110,7.875,34.35,38.1,15.15,0.98917249,1.66716129,168.0165,10.9,47.5,57.4,30,2.3346169,20.1569462,9.118966,1014.03296,3.97E-07,0.022165683,64.75,3.24,0.898588777,242.059616,32.05,0.041758356,0.06018981,2.795
1/1/2017 21:00,111.5,8.07,35.2,38.4,15.2,0.953062505,1.6693393,163.1045,10.55,46.15,55.7,29.15,2.14187574,19.6812687,9.144239,1014.29886,2.76E-07,0.021479152,62.95,3.25,0.865283698,241.780426,32.25,0.040499941,0.058428172,3.035
1/1/2017 22:00,112.5,8.235,35.95,38.5,15.2,0.923205376,1.671064255,158.701,10.3,44.95,54.2,28.3,2.47517967,18.9644718,9.234775,1014.31061,1.92E-07,0.020838811,61.15,3.27,0.837860972,241.607666,32.25,0.039318576,0.056744008,3.265
1/1/2017 23:00,113,8.365,36.6,38.4,15.15,0.901751399,1.671013475,155.0435,10.085,43.95,52.85,27.65,2.85194302,18.14476965,9.338836,1014.11963,1.31E-07,0.020393488,59.75,3.3,0.818471641,241.5404815,32.1,0.038481281,0.055503432,3.515
